,by,descendants,id,score,time,title,type,url,kids,text
45,thunderbong,21.0,38046786,45,1698463024,"People are speaking with ChatGPT for hours,bringing 2013's Her closer to reality",story,https://arstechnica.com/information-technology/2023/10/people-are-speaking-with-chatgpt-for-hours-bringing-2013s-her-closer-to-reality/,"[38050264, 38050245, 38047700, 38050030, 38048503, 38047963, 38048364, 38047588, 38048535, 38049544, 38048565, 38047729, 38049468, 38049559]",
46,sbmthakur,10.0,38047424,24,1698471184,Americans falling behind on auto loan payments at record pace,story,https://www.foxbusiness.com/economy/americans-falling-behind-auto-loan-payments-record-pace,"[38047455, 38048203]",
47,grammers,106.0,38048811,115,1698490599,The UK's Controversial Online Safety Act Is Now Law,story,https://www.wired.com/story/the-uks-controversial-online-safety-act-is-now-law/,"[38049249, 38050204, 38049974, 38050145, 38049421, 38049890, 38049612, 38049509, 38049754, 38049689, 38049241, 38049296, 38049373, 38049784, 38049493, 38049354]",
48,nickt,63.0,38032257,257,1698357616,WebSDR – Internet-connected Software-Defined Radios,story,http://www.websdr.org/,"[38034363, 38034076, 38034533, 38035114, 38033974, 38033443, 38041646, 38038849, 38033638, 38035330, 38039812, 38034457, 38033824, 38032921, 38032655]",
49,walterbell,147.0,38035505,332,1698389857,How to draw software architecture diagrams (2022),story,https://terrastruct.com/blog/post/draw-software-architecture-diagrams/,"[38036924, 38037258, 38036287, 38037475, 38042774, 38036920, 38037296, 38044283, 38036808, 38036931, 38037400, 38038032, 38037362, 38037222, 38037037, 38036853, 38042242, 38038616, 38039040, 38038692, 38042538, 38036765, 38037488, 38037372, 38045070, 38037858, 38036790, 38039075, 38039134, 38036957, 38036951, 38037618, 38036829, 38038914, 38043308, 38042808, 38040120, 38038789, 38037435, 38038375]",
50,phil9l,28.0,38037449,126,1698408700,DreamCraft3D: Hierarchical 3D Generation with Bootstrapped Diffusion Prior,story,https://mrtornado24.github.io/DreamCraft3D/,"[38041902, 38041150, 38040439, 38042139, 38046275, 38044785, 38040520, 38040544, 38042193, 38044540]",
51,signa11,88.0,38034797,144,1698382091,My 2023 all-flash ZFS NAS (Network Storage) build,story,https://michael.stapelberg.ch/posts/2023-10-25-my-all-flash-zfs-network-storage-build/,"[38037429, 38040370, 38037910, 38039176, 38038797, 38038702, 38037733, 38042618, 38038880, 38037412, 38037484, 38038805, 38037369, 38038134, 38039942, 38038045, 38037660]",
52,carapace,3.0,38041736,49,1698429499,"Ashby's book ""Introduction to Cybernetics"" (2003)",story,http://pespmc1.vub.ac.be/ASHBBOOK.html,"[38049648, 38047516]",
53,galenmarchetti,5.0,38038986,63,1698417275,Show HN: A local Python prototyping tool for Jupyter and Streamlit,story,https://github.com/galenmarchetti/jupyter-notebook-package,"[38047537, 38042847, 38047317]","Hey HN! I built a local Python prototyping tool that is finally the Python development environment I&#x27;ve always wanted.<p>It has a Jupyter notebook for data crunching, a database of your choice (Python or MongoDB), and a Streamlit app for building a frontend visualization. You can edit the Streamlit backend via an embedded VSCode editor, or locally on your own IDE.<p>The best part for me is that the database connectors within Jupyter and Streamlit are configured out-of-the-box, so you don&#x27;t need to spend time thinking about how to tie all that together - you can just pick the database you want to use and get going.<p>Disclaimer: I do also work on the tool that deploys all this under the hood, but this project is a personal hackweek project that I threw together so I could develop Python apps on my own"
54,happy-go-lucky,325.0,38040468,483,1698423383,'Not of faculty quality': How Penn mistreated Katalin Karikó,story,https://www.thedp.com/article/2023/10/penn-katalin-kariko-university-relationship-mistreatment,"[38041372, 38041253, 38041419, 38042687, 38044023, 38043553, 38041091, 38041869, 38041184, 38041407, 38041130, 38042790, 38041082, 38042713, 38046671, 38041586, 38042402, 38045805, 38047482, 38046699, 38045473, 38041280, 38042759, 38043386, 38041701, 38043532, 38041094, 38045487, 38041998, 38045236, 38041126, 38042005, 38041107, 38041807, 38045562, 38043009, 38044339, 38044159, 38041294, 38041117, 38044829, 38047313, 38044248, 38042605, 38041443, 38041711, 38041932, 38041243]",
55,TakakiTohno,59.0,38045112,105,1698447829,Scientists simulate backward time travel using quantum entanglement,story,https://thedebrief.org/scientists-successfully-simulate-backward-time-travel-with-a-25-chance-of-actually-changing-the-past/,"[38045344, 38049516, 38045963, 38046791, 38047116, 38047626, 38047560, 38047212, 38046717, 38046766, 38047437, 38046226]",
56,tintinnabula,55.0,38021463,60,1698292841,Solitary Confinement's Unlikely Origins,story,https://publicdomainreview.org/essay/silent-treatment/,"[38040933, 38045992, 38040580, 38042951]",
57,Metacelsus,317.0,38039133,437,1698417897,Finding that lead emissions from aircraft engines contribute to air pollution,story,https://www.federalregister.gov/documents/2023/10/20/2023-23247/finding-that-lead-emissions-from-aircraft-engines-that-operate-on-leaded-fuel-cause-or-contribute-to,"[38042348, 38039362, 38039458, 38043425, 38041138, 38039531, 38039472, 38042405, 38039479, 38041162, 38043494, 38040791, 38041374, 38044404, 38042169, 38042116, 38039361, 38039398, 38039412, 38040722, 38039627, 38042166, 38040708, 38041325, 38040602, 38041705, 38039704]",
58,unstuck3958,16.0,38041551,93,1698428647,Krita is now available on the macOS store,story,https://krita.org/en/item/krita-in-stores-update/,"[38044934, 38046404, 38044004, 38044475, 38047348, 38046428, 38045919]",
59,keepamovin,115.0,38026736,382,1698333504,I2P: End-to-end encrypted and anonymous internet,story,https://github.com/PurpleI2P/i2pd,"[38028073, 38028985, 38029681, 38027732, 38047173, 38028305, 38030054, 38032398, 38028866, 38032098, 38029069, 38028448, 38029152, 38030473, 38033477, 38028572, 38030821, 38033468, 38030281]",
60,bookofjoe,155.0,38030932,324,1698350179,Takkyu-bin: Luggage forwarding in Japan,story,https://craigmod.com/ridgeline/170/,"[38032304, 38032709, 38033360, 38033298, 38032794, 38032310, 38034948, 38033729, 38033194, 38035619, 38035326, 38032545, 38036332, 38033190, 38037150, 38032220, 38034266, 38039500, 38032674, 38034840, 38033208, 38032847, 38033674, 38034245, 38035475, 38034136, 38034109, 38036721, 38048603, 38032201, 38036780, 38033850, 38032261]",
61,alphabettsy,48.0,38038682,148,1698415983,Everything I've learned building the fastest Arm desktop,story,https://www.jeffgeerling.com/blog/2023/everything-ive-learned-building-fastest-arm-desktop,"[38042569, 38050142, 38040258, 38049681, 38040118, 38047906, 38039918, 38040061, 38045190, 38040248, 38043517, 38041357, 38043728, 38041472]",
62,talonx,121.0,38033385,189,1698367005,Ceasing print publication of ACM journals and transactions,story,https://www.acm.org/publications/ceasing-print,"[38035489, 38034872, 38033751, 38036558, 38033567, 38034052, 38035542, 38034228, 38034670, 38035988, 38034618, 38039798, 38038111, 38035713, 38040262, 38034834, 38037570, 38033741, 38035356]",
63,j-b,76.0,38040591,126,1698424089,Show HN: Biblos – Semantic Bible Embedded Vector Search and Claude LLM,story,https://github.com/dssjon/biblos,"[38042480, 38042744, 38041352, 38046395, 38047784, 38041220, 38047433, 38040955, 38043910, 38043167, 38041100, 38045990, 38041832, 38041919, 38047155, 38042087, 38041937, 38041216, 38045280, 38046800, 38041365, 38043072, 38041081]","Introducing Biblos, a simple tool for semantic search and summarization of Bible passages. Leveraging Chroma for vector search with BAAI BGE embeddings, semantically find related verses across the Bible. The tool employs Anthropic&#x27;s Claude LLM model for generating high-quality summaries of retrieved passages, contextualizing your search topic. Built on a Retrieval Augmented Generation (RAG) architecture, the app implements a simple Streamlit Web UI using Python. Deployed using render.com, the app is available at <a href=""https:&#x2F;&#x2F;biblos.app"" rel=""nofollow noreferrer"">https:&#x2F;&#x2F;biblos.app</a><p>Note: Search by just topic&#x2F;keywords, e.g. &quot;Kingdom of Heaven&quot;, for broader results!"
64,BerislavLopac,111.0,38024665,316,1698323518,Cold war satellite images reveal unknown Roman forts,story,https://www.theguardian.com/science/2023/oct/26/cold-war-satellite-images-hundreds-unknown-roman-forts,"[38028984, 38026487, 38025598, 38025246, 38025770, 38034559, 38026804, 38025852, 38032299, 38026258]",
65,ra7,1235.0,38002752,1188,1698170133,California suspends Cruise's autonomous vehicle deployment,story,https://www.reuters.com/business/autos-transportation/california-suspends-gm-cruises-driverless-autonomous-vehicle-permits-2023-10-24/,"[38003043, 38003860, 38003782, 38003740, 38004496, 38003725, 38004449, 38003367, 38009408, 38003739, 38003142, 38003868, 38003684, 38003360, 38003757, 38003126, 38007308, 38005992, 38004351, 38004312, 38004676, 38005966, 38008473, 38006849, 38003822, 38004200, 38005593, 38026112, 38007681, 38004559, 38003717, 38041863, 38012013, 38003080, 38004716, 38005722, 38003807, 38004951, 38007435, 38013644, 38014660, 38009005, 38003942, 38009094, 38012005, 38003383, 38007318, 38007787, 38008746, 38003693, 38003675, 38025202, 38011176, 38014579, 38004428, 38004090, 38003354, 38003745, 38012584, 38004793, 38006473, 38007944, 38008393, 38032882, 38008053, 38003719, 38004430, 38003691, 38004990, 38003937, 38006602, 38003294, 38005052, 38007498, 38004873, 38010484, 38003791, 38002870, 38008440, 38013329, 38012575, 38008217, 38003667, 38003730, 38003999, 38008216]",
66,sharkski,27.0,38039489,117,1698419354,The Xiaomi 14 with the new Snapdragon 8 Gen 3 has a 32 to 64-bit translator,story,https://twitter.com/MishaalRahman/status/1717916987387469842,"[38042661, 38041104, 38043624, 38039976, 38040275, 38043724]",
67,pipeline_tux,42.0,38039905,94,1698420949,Show HN: Pākiki Proxy – An intercepting proxy for penetration testing,story,https://pakikiproxy.com/,"[38042908, 38043539, 38042920, 38048520, 38043727, 38040672, 38041911, 38045557, 38042524, 38045169, 38046091, 38043859, 38042238, 38040828, 38045927, 38040550]","Hey HN,
I&#x27;ve been working on an intercepting proxy for penetration testing over the last few years in my spare time.<p>Some points of difference from the existing tools:<p>* The UIs are built using the native platform frameworks, meaning they look and behave like other applications on the desktop.<p>* It has a fully embedded and integrated Python scripting engine.<p>* It’s fully native meaning it’s nicer on system resources.<p>* It has a number of built in scripts to automate reconnaissance, content discovery, authorisation checks, etc.<p>* The core of it is open source.<p>I&#x27;m really keen to get any feedback!"
68,ecliptik,106.0,38039689,139,1698420190,OpenBSD: Removing syscall(2) from libc and kernel,story,https://marc.info/?l=openbsd-tech&m=169841790407370&w=2,"[38043422, 38040994, 38040088, 38041445, 38041479, 38041833, 38047228, 38041411, 38044624, 38041378, 38041460]",
69,cavisne,76.0,38028418,74,1698339503,BP to purchase $100M in Tesla Superchargers,story,https://spectrumnews1.com/ca/la-west/transportation/2023/10/26/bp-will-purchase--100-million-tesla-superchargers,"[38047202, 38035385, 38034371, 38047051, 38047548, 38047244, 38033112, 38047233, 38039652, 38035467, 38033643, 38033498, 38036836, 38047007]",
70,artex_xh,198.0,38020109,545,1698279881,Jina AI launches open-source 8k text embedding,story,https://jina.ai/news/jina-ai-launches-worlds-first-open-source-8k-text-embedding-rivaling-openai/,"[38023975, 38020327, 38020552, 38020753, 38026853, 38024174, 38020655, 38021291, 38020376, 38024283, 38023999, 38020756, 38023879, 38021154, 38023187, 38020628, 38020865, 38022553, 38021759, 38021640, 38021252, 38020413, 38020425, 38020314, 38022939, 38020675, 38023983, 38023393, 38020557, 38020409, 38020778, 38020432, 38020512, 38022124, 38023327]",
71,elsewhen,0.0,38049960,8,1698502435,The Reactionary Futurism of Marc Andreessen,story,https://www.nytimes.com/2023/10/26/opinion/marc-andreessen-reactionary-futurism.html,,
72,KenRuf,95.0,38027587,206,1698336444,How bioelectricity could regrow limbs and organs,story,https://news.uchicago.edu/how-bioelectricity-could-regrow-limbs-and-organs,"[38032603, 38032702, 38032831, 38033232, 38032668, 38032720, 38036940, 38036846, 38032654, 38037390, 38038723, 38035268, 38041971, 38034196, 38038538, 38037956, 38036988, 38033196, 38033946]",
73,jpster,7.0,38045625,23,1698452321,"US student, 14, wins award for developing soap to treat skin cancer",story,https://www.theguardian.com/society/2023/oct/25/skin-cancer-soap-virginia-student,"[38047411, 38048204, 38047636]",
74,surprisetalk,13.0,38037110,48,1698405705,Ways to Make Sand (2020) [video],story,https://www.youtube.com/watch?v=BDyvjkAs5-Y&list=ULcxqQ59vzyTk&index=6,"[38042776, 38044748, 38043445, 38046808, 38048215, 38045597]",
75,luu,3.0,38034668,39,1698380607,"Generating well-typed terms that are not ""useless"" [pdf]",story,https://lemonidas.github.io/pdf/NotUseless.pdf,"[38036605, 38038175, 38036916]",
76,ivanleomk,15.0,38040391,61,1698423070,Good LLM Validation Is Just Good Validation,story,https://jxnl.github.io/instructor/blog/2023/10/23/good-llm-validation-is-just-good-validation/,"[38041474, 38043629, 38040392, 38042599]",
77,sohkamyung,128.0,38032242,221,1698357502,Trying to make sense of why Otis exploded en route to Acapulco,story,https://theeyewall.com/trying-to-make-sense-of-why-otis-exploded-en-route-to-acapulco-this-week/,"[38034100, 38036540, 38032944, 38038558, 38032868, 38039591, 38037577, 38033235, 38034426, 38035631, 38034487, 38037158, 38032760, 38032675]",
78,bfirsh,69.0,38040702,211,1698424674,Generate images in one second on your Mac using a latent consistency model,story,https://replicate.com/blog/run-latent-consistency-model-on-mac,"[38041349, 38042679, 38042437, 38043945, 38045685, 38042782, 38041151, 38041333, 38042336, 38043455, 38046476, 38042756, 38043104, 38042494, 38041224, 38042133, 38041143, 38041009]",
79,Terretta,7.0,38047251,23,1698468814,Caffeine can compromise working memory function and brain activity patterns,story,https://www.psypost.org/2023/10/caffeine-can-compromise-working-memory-function-and-lead-to-changes-in-brain-activity-patterns-214165,"[38048159, 38048171, 38049306, 38048084]",
80,userbinator,7.0,38034891,39,1698383042,On Bus Arbitration on the Unibus and QBUS (2017),story,http://www.froghouse.org/~dab/papers/bus-arbitration/bus-arbitration.html,"[38037300, 38037442, 38038243]",
81,aiProgMach,346.0,38038713,349,1698416109,Tell HN: Automatic fraud detection is making my life hell,story,,"[38045174, 38044944, 38039446, 38039963, 38039974, 38039207, 38040128, 38044895, 38046655, 38046034, 38039405, 38047092, 38045842, 38039697, 38039762, 38045330, 38043729, 38039434, 38039429, 38039432, 38040719, 38045477, 38047525, 38038834, 38044256, 38048156, 38039836, 38046033, 38046610, 38048607, 38047291, 38045784, 38039515, 38046467, 38045778, 38039364, 38040010, 38045516, 38049767, 38044899, 38047410, 38040167, 38045522, 38040329, 38039868, 38043980, 38044383, 38047045, 38043816, 38047401, 38044583, 38046424, 38048131, 38045040, 38044773, 38043718, 38040020, 38045476, 38039601, 38046264, 38040280, 38039854, 38039804, 38039539, 38039347, 38047857, 38040104, 38043769, 38044260, 38046011]","I&#x27;ve been in India for a while now, to support family member as she&#x27;s here for medical reasons. I rely on online services to save on cash especially that it&#x27;s hard to carry cash from my country (for &quot;security&quot; reasons, as most airports limit how much cash you can carry).<p>Yet, many online services are giving me hell with their &quot;smart&quot; anti fraud detection and things like that, at this point I can really understand the position of the people who are dooming about cashless society, because at some point here I felt trapped not being able to get services I needed so much (until I asked shop owner to pay for me and I paid him in cash + small profit...).<p>The thing is, the attitude of these companies is so frustrating;  like if my card was already accepted once and I successfully approved the payment via 3D secure with my bank, who are you (as a random online service) to assume you can act as my big brother? Even more, if I&#x27;m using a balance paid by gift card, who give Amazon or other services the right to put my account on hold while it still contains my hard earned money (I had to try literally multiple services just to buy expensive gift card as Amazon payment won&#x27;t allow me to choose the correct currency of my Card). Mind you, I&#x27;m just a random guy and not world class criminal, or an Activist who&#x27;s being actively targeted, this make me wonder what these services can do once we go completely cashless.<p>Simple tasks like downloading region-specific Indian apps become unnecessarily complex, as Google play have this &quot;smart&quot; rule that says I can only change my region once per year, what?? It&#x27;s just an app just give me the apk, and you can just ask for my location! (I had to install the apks from some random websites at risk of getting some malware...).<p>I would said what this experience taught me as a developer, but it won&#x27;t matter, as most products are designed to help the stake holders and upper managers and even Governments, and a dev&#x27;s empathy won&#x27;t matter much...<p>Apologies for this vent, but I really felt I need to post something about this frustrating situation I&#x27;m in."
82,aw1621107,223.0,38015277,602,1698254149,iLeakage: Browser-Based Timerless Speculative Execution Attacks on Apple Devices,story,https://ileakage.com/,"[38016060, 38019197, 38016876, 38015686, 38017319, 38017668, 38019371, 38018007, 38023031, 38019092, 38021290, 38023208, 38017448, 38016199, 38015502, 38018066, 38021469, 38023988, 38023089, 38016111, 38017242, 38015652, 38016569, 38016073, 38017674, 38022047, 38021006, 38018925, 38021293]",
83,mgarciaisaia,328.0,38018917,465,1698271082,How to find a lost phone in a no-cell-coverage camping site?,story,https://manas.tech/blog/2023/10/25/approaching-unconventional-problems/,"[38021841, 38021497, 38020421, 38022571, 38020261, 38019675, 38020106, 38019696, 38019943, 38023067, 38023809, 38023956, 38021949, 38019569, 38020395, 38019513, 38020958, 38019526, 38024640, 38019972, 38019956, 38037232, 38020509, 38021440, 38023294, 38037203, 38025922, 38029492, 38020699, 38021112, 38021609, 38022930, 38019511, 38023993, 38021103, 38024053, 38021963, 38023117, 38024310, 38020788]",
84,todsacerdoti,3.0,38044933,8,1698446460,Nix Packaging,story,https://nix-packaging.com,"[38048862, 38048732]",
85,daoboy,33.0,38043127,155,1698436465,Images from the 2023 Nikon Small World Photomicrography Competition,story,https://www.nikonsmallworld.com/galleries/2023-photomicrography-competition,"[38043981, 38043891, 38043332, 38043742, 38043744, 38045605, 38045355, 38043567, 38044172, 38044180, 38045356, 38043710, 38043783, 38043956, 38043502, 38044286, 38043826]",
86,mooreds,13.0,38046914,41,1698464446,"It's Me, the Person Putting Drugs in the Halloween Candy (2022)",story,https://www.mcsweeneys.net/articles/its-me-the-person-putting-drugs-in-the-halloween-candy,"[38048298, 38047672, 38047712, 38048281, 38048410, 38047609]",
87,teleforce,8.0,38043809,79,1698440208,SDRangel: Explore the electromagnetic spectrum with open source SDR software,story,https://github.com/f4exb/sdrangel,"[38045307, 38045037, 38045288, 38048083]",
88,thunderbong,23.0,38029671,185,1698344502,Making PostgreSQL tick: New features in pg_cron,story,https://www.citusdata.com/blog/2023/10/26/making-postgres-tick-new-features-in-pg-cron/,"[38033800, 38036098]",
89,rascul,67.0,38041073,69,1698426475,The bacterial horror of hot-air hand dryers (2018),story,https://www.health.harvard.edu/blog/the-bacterial-horror-of-the-hot-air-hand-dryer-2018051113823,"[38046743, 38046523, 38046981, 38046372, 38047034, 38047331, 38047314, 38047184, 38047283, 38045205]",
90,mmastrac,41.0,38034269,139,1698375937,How to catch a wild triangle,story,https://securelist.com/operation-triangulation-catching-wild-triangle/110916/,"[38034815, 38035986, 38035058, 38036906, 38036739, 38036273, 38036809, 38035141, 38036504, 38035085]",
91,mrmagoo2,100.0,38012032,802,1698236659,Show HN: OpenAPI DevTools – Chrome extension that generates an API spec,story,https://github.com/AndrewWalsh/openapi-devtools,"[38012423, 38019673, 38012798, 38014878, 38012866, 38012282, 38013683, 38012337, 38013617, 38015669, 38015244, 38014045, 38012270, 38021340, 38015180, 38012802, 38012167, 38012491, 38013635, 38015206, 38016450, 38014115, 38012906, 38023181, 38013527, 38012843, 38012149, 38012444, 38015202, 38014842, 38013011, 38013735, 38012713, 38014274, 38013833, 38012136, 38012201, 38020295, 38016050, 38016089]",Effortlessly discover API behaviour with a Chrome extension that automatically generates OpenAPI specifications in real time for any app or website.
92,geox,192.0,38038465,279,1698415020,A third of chocolate products are high in heavy metals,story,https://www.consumerreports.org/health/food-safety/a-third-of-chocolate-products-are-high-in-heavy-metals-a4844566398/,"[38039708, 38039241, 38039335, 38039584, 38041870, 38040564, 38041626, 38039443, 38039782, 38041535, 38041287, 38043014, 38045885, 38040126, 38039055, 38039215, 38042893, 38039315, 38041442, 38040633, 38041682, 38041926, 38043459, 38039568, 38041388, 38040645, 38042956, 38039880, 38039987, 38039389, 38040117]",
93,isaacfrond,332.0,38024899,192,1698325045,Mars has a layer of molten rock inside,story,https://www.nature.com/articles/d41586-023-03271-4,"[38026607, 38025747, 38034729, 38026984, 38033697, 38026596, 38032893, 38025755, 38026712, 38028569, 38025383, 38025348]",
94,benbreen,11.0,38013003,28,1698243109,Very Slight Counterfactuals: Dick Whittington Has Children,story,https://www.thechatner.com/p/very-slight-counterfactuals-dick,"[38031986, 38030958, 38032659, 38029646]",
95,babelfish,56.0,38033836,81,1698371963,OpenAI closes big lease deal at Uber's San Francisco headquarters,story,https://www.sfchronicle.com/realestate/article/openai-s-f-uber-lease-18451102.php,"[38043385, 38043330, 38043144, 38043870, 38043199, 38044086]",
96,bookofjoe,9.0,38032982,28,1698362996,"The Eye, a mysterious rotating island in Argentina",story,https://mybestplace.com/en/article/the-eye-the-mysterious-rotating-island-in-argentina,"[38038488, 38046550, 38039179, 38042554, 38038532, 38040301, 38044057, 38037901, 38037988]",
97,lpil,49.0,38031342,144,1698352355,Things I like about Gleam's Syntax,story,https://erikarow.land/notes/gleam-syntax,"[38035482, 38034488, 38037082, 38037335, 38047830, 38037684, 38033967, 38037396, 38035171]",
98,binidxaba,40.0,38029893,168,1698345444,Roombas at the end of the world,story,https://spectrum.ieee.org/south-pole-roombas,"[38031789, 38032560, 38031536, 38029894, 38033289, 38034307]",
99,daviesgeek,20.0,38028877,52,1698341464,MyQ's horrible take on open access to their devices,story,https://memos.daviesgeek.com/m/7,"[38033897, 38033508, 38040031, 38046348, 38033607, 38033701, 38039948, 38034884, 38036630]",
